name,host_id,host_name,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,state,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,price_range,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,calendar_last_scraped,number_of_reviews,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
Georgetown Townhouse Full of Light,22734450,Benoit,10/19/14,f,1,1,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,3,1.5,2,2,Real Bed,239,3,1549,,,$60.00 ,1,$0.00 ,1,1125,78,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Two bedroom townhouse in Georgetown,13817352,Pam,4/2/14,f,16,16,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,5,2.5,2,3,Real Bed,450,5,,5200,500,,3,$15.00 ,2,1125,341,10/3/15,2,8/5/14,11/30/14,4,80,8,9,f,f,flexible,f,f,16,0.14
Georgetown's Chateau Bleu - BsmtApt,1671809,Mary Beth,1/30/12,f,7,7,t,t,Burleith,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,129,2,,2000,,$105.00 ,2,$40.00 ,3,1125,296,10/3/15,2,5/19/14,8/24/15,3,60,6,5,f,f,strict,f,f,4,0.12
Georgetown 2 BR Apartment,38084739,Caesar,7/10/15,f,1,1,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,2,2,Real Bed,100,2,600,2800,,,1,$0.00 ,1,1125,51,10/3/15,12,8/23/15,9/26/15,4,98,10,9,f,f,flexible,f,f,1,8.57
Georgetown Townhome,38201137,Boris,7/11/15,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,3,2.5,3,3,Real Bed,200,3,1000,2900,,,1,$0.00 ,1,1125,290,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Georgetown Basement Apartment,33868772,Nora,5/20/15,f,1,1,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,130,2,750,2700,,$15.00 ,1,$0.00 ,3,1125,109,10/3/15,4,5/30/15,6/27/15,3,80,9,9,f,f,flexible,f,f,1,0.94
Georgetown English Basement Apt.,20724798,Jerry,8/30/14,f,1,1,t,t,Georgetown,Washington,DC,20007-3413,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,2,Real Bed,179,3,,3950,250,$70.00 ,1,$0.00 ,3,29,327,10/3/15,25,10/14/14,9/25/15,4,96,10,9,f,f,strict,f,f,1,2.11
Large Beautiful Home right on VOLTA,21421893,Gilbert,9/16/14,f,1,1,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,4,1.5,3,3,Real Bed,450,5,,,,,1,$0.00 ,1,1125,365,10/3/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Georgetown! Top of the Hill!,8008783,Cliff,8/7/13,f,30,30,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,6,3,2,4,Real Bed,475,5,,,,$220.00 ,1,$0.00 ,3,1125,257,10/3/15,3,7/24/15,8/30/15,3,80,9,9,f,f,strict,f,f,27,1.25
Georgetown Condo. Prime Location.#3,41047431,William,8/10/15,f,6,6,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,1,1,0,1,Real Bed,95,2,,2850,,$50.00 ,1,$0.00 ,5,1125,258,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,6,
Georgetown Condo. Prime Location.#2,41047431,William,8/10/15,f,6,6,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,1,1,0,1,Real Bed,95,2,,2850,,$50.00 ,1,$0.00 ,5,1125,360,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,6,
Modern Georgetown Apartment,21178631,John,9/10/14,f,3,3,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,4,2,2,2,Real Bed,450,5,2500,6000,500,$180.00 ,1,$0.00 ,3,1125,281,10/3/15,0,0,0,0,,,,f,f,strict,f,f,2,
Georgetown Apt w/ the Meow?,18088273,Zoya,7/14/14,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,2,500,,100,,1,$0.00 ,3,1125,276,10/3/15,2,7/6/15,8/5/15,3,90,9,10,f,f,flexible,f,f,1,0.67
Georgetown Apt 1/2 Block from M St!,30664423,Anne,4/5/15,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,170,3,,,,,1,$0.00 ,3,1125,306,10/3/15,12,6/12/15,9/28/15,4,100,10,10,f,f,flexible,f,f,1,3.16
Historic Georgetown Roomy Engbasemt,27843930,Robert,2/16/15,f,1,1,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,2,800,2800,100,$30.00 ,2,$60.00 ,2,1125,61,10/3/15,10,4/1/15,8/31/15,3,82,9,7,f,f,flexible,f,f,1,1.61
2 bedroom/2 bath in Georgetown,13817352,Pam,4/2/14,f,16,16,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,5,2,2,3,Real Bed,415,5,,5500,,,3,$15.00 ,1,1125,349,10/3/15,1,9/21/15,9/21/15,4,100,10,10,f,f,flexible,f,f,16,1
1 Bdrm in heart of Georgetown!,8014768,Ashley,8/7/13,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,3,1,1,1,Real Bed,175,3,,,200,$75.00 ,1,$0.00 ,2,1125,76,10/2/15,3,7/5/15,8/30/15,3,100,10,10,f,f,moderate,f,f,1,0.99
Elegant Georgetown Brownstone,16952136,Meaghan,6/18/14,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,4,1.5,2,3,Real Bed,400,5,2200,7000,500,$100.00 ,4,$150.00 ,3,1125,268,10/2/15,7,7/6/14,7/29/15,3,100,10,9,f,f,strict,f,f,1,0.46
"2) Bright, Peaceful Georgetown Room",23569717,Eric,11/10/14,f,2,2,t,t,Burleith,Washington,DC,20007,"Washington, DC",t,House,Private room,1,1,1,1,Real Bed,65,2,385,1125,,$15.00 ,1,$15.00 ,3,120,292,10/2/15,18,11/26/14,9/15/15,4,92,10,9,f,f,strict,f,f,2,1.73
Huge upstairs room in Georgetown!,2935817,Kirby,7/14/12,f,4,4,t,t,Burleith,Washington,DC,20007,"Washington, DC",t,House,Private room,2,1,1,1,Real Bed,65,2,450,1600,,$10.00 ,1,$10.00 ,6,1125,115,10/3/15,6,11/26/12,10/17/14,4,84,8,7,f,f,strict,f,f,4,0.17
Two bedroom/2 bath in Georgetown,13817352,Pam,4/2/14,f,16,16,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,5,2,2,3,Real Bed,515,6,1666,5880,,,3,$15.00 ,2,1125,320,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,16,
"Beautiful Georgetown Apt, Great loc",8068655,Colby,8/10/13,f,2,2,t,t,Burleith,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,4,1,1,2,Real Bed,135,2,850,3000,200,$85.00 ,2,$25.00 ,2,200,311,10/2/15,36,8/24/13,9/25/15,4,91,9,9,f,t,strict,f,f,1,1.4
Charming Georgetown Apartment,14554963,Ellen,4/21/14,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,2,750,2100,,$20.00 ,1,$0.00 ,2,1125,115,10/2/15,2,7/10/15,8/17/15,3,100,10,10,f,t,moderate,f,f,1,0.7
Gorgeous G-Town Apartment,43968214,Grace,9/11/15,f,1,1,t,f,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,180,3,1000,4000,,$20.00 ,1,$0.00 ,1,1125,361,10/2/15,0,0,0,0,,,,f,f,flexible,f,f,1,
Jewel Box in Georgetown 3 BR 3 Bath,8008783,Cliff,8/7/13,f,30,30,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,10,3,3,5,Real Bed,500,5,3400,12000,,$220.00 ,6,$5.00 ,3,999,320,10/2/15,11,11/5/13,8/24/15,3,88,9,9,f,f,strict,f,f,27,0.47
Perfect between Georgetown & Dupont,1648327,Joanna,1/24/12,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,189,3,1100,3999,99,$39.00 ,1,$0.00 ,1,30,361,10/2/15,2,2/19/14,5/19/14,2,90,10,10,f,f,strict,f,f,1,0.1
Big Georgetown Apt. with big patio,1799724,Daniel,2/23/12,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,2,1,1,1,Real Bed,118,2,690,,200,$60.00 ,1,$30.00 ,5,24,321,10/2/15,0,0,0,0,,,,f,f,strict,f,f,1,
Georgetown 2BR Modern House Parking,5598784,Christian,3/24/13,f,1,1,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,House,Entire home/apt,5,1,2,2,Real Bed,439,5,,,300,,1,$0.00 ,2,8,280,10/3/15,11,3/24/14,7/25/15,3,95,9,10,f,f,moderate,f,f,1,0.59
1BR 2Bath In Heart of Georgetown!,3843817,Keyless,10/12/12,f,2,2,t,t,Georgetown,Washington,DC,20007,"Washington, DC",t,Apartment,Entire home/apt,6,1.5,1,2,Real Bed,220,3,,,150,$100.00 ,4,$25.00 ,1,1125,345,10/2/15,1,9/18/15,9/18/15,4,100,10,10,f,f,strict,f,f,1,1
