property_type,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood
1,2,1,6,14,20037,0,1,39
1,2,1,10,14,20006,0,1,39
6,2,1,6,14,20037,0,1,39
1,2,1,5,14,20006,0,1,39
8,4,1,18,14,20037,0,1,39
1,2,1,12,14,20037,0,0,99
11,3,1,3,14,20037,0,1,99
1,2,3,0,14,20037,1,1,39
1,2,1,25,14,20006,0,1,39
1,2,1,1,14,20037,0,1,39
1,2,2,9,14,20037,0,1,99
1,2,2,0,14,20037,0,1,39
1,2,2,2,14,20037,0,1,99
1,2,1,21,14,20037,0,1,31
1,3,1,0,14,20006,1,1,39
1,3,2,4,14,20037,0,1,99
1,4,1,5,14,20037,0,1,39
1,2,1,52,14,20037,0,1,99
1,2,1,0,14,20037,0,1,39
6,2,1,0,14,20006,0,1,39
1,4,1,0,14,20037,0,1,99
1,2,3,10,14,20037,1,1,39
1,3,1,11,14,20037,0,1,32
1,2,1,3,14,20036,1,1,32
1,2,1,2,14,20037,1,1,99
1,1,3,2,14,20037,0,1,39
1,2,1,0,14,20037,1,1,39
1,3,1,0,14,20037,0,1,99
1,2,1,0,14,20037,0,1,99
1,3,1,13,14,20037,0,1,39
1,2,2,1,14,20006,0,1,39
1,2,1,63,14,20037,0,0,39
1,2,2,0,14,20006,0,1,39
1,3,1,33,14,20037,0,1,32
1,3,1,2,14,20037,0,1,99
1,1,1,3,14,20019,1,1,21
1,2,1,14,14,20019,0,0,21
8,4,1,0,14,20019,1,1,21
1,2,2,2,14,20019,1,1,21
1,2,1,77,14,20019,1,1,21
8,1,2,1,14,20019,1,1,29
8,2,2,0,14,20019,0,1,34
8,2,2,1,14,20019,0,1,34
8,1,2,3,14,20019,1,1,29
2,1,2,0,14,20019,0,1,29
1,4,1,2,14,20009,1,1,61
8,2,2,9,14,20001,0,1,83
1,2,1,53,14,20001,0,1,83
1,2,1,0,14,20001,1,1,83
1,3,1,16,14,20005,0,0,61
8,2,1,362,14,20001,0,1,83
1,2,1,0,14,20001,0,1,83
8,2,2,13,14,20001,0,1,83
1,5,1,27,14,20009,0,1,61
8,2,2,36,14,20001,0,0,68
1,2,1,6,14,20001,0,1,83
1,3,1,0,14,20001,0,1,31
1,2,1,9,14,20005,0,1,61
8,2,2,6,14,20001,0,1,83
11,2,2,117,14,20001,1,1,83
11,4,1,2,14,20005,0,1,61
1,2,3,19,14,20005,1,1,61
8,2,2,102,14,20001,0,1,83
1,2,1,5,14,20001,0,1,61
1,2,1,7,14,20001,0,1,83
8,2,2,6,14,20001,1,1,61
1,2,1,2,14,20005,1,1,61
1,3,1,29,14,20001,0,0,68
1,2,2,6,14,20009,0,1,61
1,5,1,11,14,20001,1,0,83
1,2,1,1,14,20001,0,1,83
1,2,2,0,14,20005,1,1,61
1,2,1,72,14,20005,0,0,61
8,2,2,2,14,20001,1,1,83
1,3,1,22,14,20005,1,0,61
8,5,1,0,14,20001,0,0,68
1,4,1,1,14,20005,0,1,61
8,2,1,43,14,20001,0,0,61
1,4,1,3,14,20009,0,1,61
1,4,1,2,14,20005,0,1,61
1,2,3,2,14,20001,0,1,83
1,2,1,4,14,20001,0,1,83
1,2,1,22,14,20001,0,1,83
1,2,1,12,14,20005,1,1,61
1,2,1,7,14,20005,0,1,61
1,2,2,0,14,20009,0,1,61
1,2,2,44,14,20001,0,0,83
1,3,1,0,14,20005,1,1,61
1,3,1,0,14,20009,0,1,61
9,2,1,2,14,20005,0,1,61
1,3,1,4,14,20005,1,1,61
1,2,2,2,14,20009,1,1,61
1,3,1,1,14,20001,0,1,61
1,2,1,84,14,20001,0,1,83
1,2,1,52,14,20005,0,1,61
1,2,1,6,14,20001,0,1,83
1,2,2,3,14,20005,0,1,61
1,2,2,5,14,20001,0,1,61
1,2,1,11,14,20001,0,1,61
1,3,1,13,14,20005,0,1,61
1,2,1,7,15,20005,0,1,61
1,2,1,49,14,20001,0,0,83
8,2,2,120,14,20001,0,0,83
1,2,1,0,14,20009,0,1,96
1,3,1,2,14,20009,0,1,61
1,4,1,5,14,20005,0,1,61
1,2,3,15,14,20001,0,1,83
8,4,1,1,14,20001,0,1,83
1,3,1,3,14,20005,0,1,61
1,2,1,3,14,20001,0,1,68
8,2,2,5,14,20001,0,1,83
1,2,2,13,14,20001,0,1,83
8,2,2,35,14,20001,0,1,83
1,2,1,10,14,20001,1,1,68
8,3,1,13,14,20009,0,1,96
1,2,2,47,14,20001,1,1,61
6,3,1,15,14,20005,0,1,61
2,3,2,0,14,20005,0,1,61
1,2,1,44,14,20005,0,1,61
1,4,1,3,14,20005,0,1,61
1,2,1,0,15,20005,1,1,61
8,2,2,4,14,20009,0,1,61
1,2,1,2,14,20005,0,1,61
6,2,1,5,14,20005,0,1,61
1,2,1,1,14,20001,0,1,83
1,3,1,8,14,20009,0,1,61
1,5,1,0,14,20005,0,1,61
1,2,2,0,14,20005,0,1,61
1,2,2,3,14,20001,1,1,83
1,2,1,11,14,20001,0,1,83
1,2,1,1,14,20009,0,1,61
1,3,1,5,14,20005,0,1,61
11,6,1,0,14,20001,0,1,83
1,3,1,0,14,20009,0,1,61
1,2,1,1,14,20005,0,1,61
1,2,1,0,14,20005,0,1,61
8,1,2,4,14,20001,1,1,83
6,3,1,5,14,20001,0,1,83
11,2,2,9,14,20001,0,1,83
1,2,2,0,14,20005,0,1,61
8,2,1,5,14,20001,0,1,83
1,2,1,15,14,20005,0,1,61
1,2,1,0,14,20005,1,1,61
1,2,1,1,14,20005,0,1,61
8,4,1,0,14,20001,0,1,83
1,3,1,0,14,20005,1,1,61
1,4,1,15,14,20005,0,1,61
1,2,1,2,14,20005,1,1,61
8,3,2,0,14,20005,0,1,61
1,2,2,4,14,20001,0,1,83
1,2,2,1,14,20005,0,1,61
1,2,1,6,14,20001,0,1,83
1,2,3,4,14,20001,0,1,68
8,3,1,14,14,20001,0,1,83
8,2,2,40,14,20001,0,1,83
1,2,1,215,14,20001,0,1,83
8,2,2,1,15,20001,0,1,83
8,2,2,6,14,20001,0,0,83
1,2,1,89,14,20005,0,0,61
1,2,1,18,14,20005,0,1,61
1,2,1,1,14,20001,1,1,61
8,1,2,1,14,20009,0,1,61
8,3,1,16,14,20001,0,1,83
8,2,2,6,14,20001,1,1,68
1,2,1,0,14,20001,0,1,68
1,3,1,2,14,20005,1,1,61
1,2,2,16,14,20001,0,1,61
1,4,1,3,14,20005,0,1,61
11,6,1,1,14,20005,0,1,61
8,3,2,10,14,20001,0,1,83
8,2,2,1,14,20001,0,1,83
1,2,2,149,14,20009,0,0,61
1,2,1,54,14,20001,1,1,61
2,3,2,1,14,20005,0,1,61
1,3,1,11,14,20001,0,1,83
11,3,1,4,14,20001,0,1,83
1,2,2,98,14,20001,1,1,31
8,2,2,20,14,20001,0,1,83
1,2,1,7,14,20009,0,1,61
1,2,1,85,14,20001,0,1,83
1,2,1,0,14,20005,1,1,31
1,2,2,18,14,20005,0,1,61
1,2,1,7,14,20005,0,1,61
8,4,1,5,14,20005,0,1,61
8,4,1,19,14,20009,0,1,96
1,3,1,2,14,20009,0,1,61
8,2,2,20,14,20001,0,0,83
1,3,1,1,14,20005,1,1,61
1,2,2,15,14,20005,0,1,61
1,2,2,23,14,20001,0,0,83
2,3,2,0,14,20005,0,1,61
1,2,1,4,14,20001,1,1,31
2,3,2,1,14,20005,0,1,61
1,2,3,19,14,20005,1,1,61
1,2,1,0,14,20005,0,1,61
1,2,1,2,14,20001,0,1,83
1,2,3,3,14,20005,1,1,61
1,2,1,1,14,20001,0,1,61
1,3,1,2,14,20009,1,1,96
1,2,1,6,14,20001,0,1,83
1,2,1,116,14,20005,0,1,61
1,2,2,4,14,20009,0,1,61
8,6,1,0,14,20005,1,1,61
8,5,1,1,14,20001,0,1,68
8,2,2,16,14,20005,0,0,61
1,2,1,7,14,20001,1,1,83
1,2,1,13,14,20005,0,1,61
11,3,1,6,14,20001,0,1,83
1,2,2,26,14,20001,1,1,83
1,2,2,1,14,20005,0,1,61
8,4,1,36,14,20001,1,1,83
1,2,1,133,14,20005,1,1,61
1,2,1,4,14,20005,1,1,61
1,2,1,1,14,20001,0,1,83
1,2,1,2,14,20005,0,1,61
1,2,1,5,14,20005,1,1,61
1,2,1,5,14,20001,0,1,83
1,3,1,11,14,20005,1,1,61
8,5,1,51,14,20009,0,1,61
1,2,1,1,14,20005,0,1,61
11,4,1,1,14,20001,0,1,83
1,2,1,1,14,20009,1,1,61
1,4,1,0,14,20001,0,1,68
8,2,2,4,14,20005,0,1,61
1,3,1,0,14,20005,0,1,61
1,2,1,27,14,20005,0,1,61
1,2,1,2,14,20001,0,1,83
1,4,1,17,14,20005,0,1,61
1,2,2,6,14,20001,0,1,83
8,2,2,77,14,20001,0,1,83
1,2,2,15,14,20001,0,0,83
1,2,1,71,14,20005,0,0,61
1,3,1,0,14,20005,0,1,61
6,2,1,2,14,20005,1,1,61
1,3,1,23,14,20005,0,1,61
6,3,1,0,14,20005,1,1,61
1,4,1,9,14,20001,0,1,83
1,2,1,10,14,20005,0,1,61
1,2,1,8,14,20001,1,1,68
1,3,2,0,14,20001,1,1,61
11,2,2,0,14,20001,1,1,83
8,2,2,3,14,20001,1,1,83
8,2,2,15,14,20005,0,0,61
1,2,2,1,14,20009,0,1,61
8,5,1,41,14,20001,0,1,83
1,3,1,6,14,20005,0,1,61
1,2,1,6,14,20001,0,1,83
8,4,1,69,14,20001,0,1,83
1,3,1,8,14,20001,0,1,83
1,2,1,0,14,20005,0,1,61
1,2,1,38,14,20005,1,1,61
1,5,1,6,14,20001,0,0,83
1,2,1,54,15,20001,0,0,83
1,4,1,7,14,20001,0,1,70
2,3,2,0,14,20005,0,1,61
1,2,1,2,14,20001,0,1,83
1,2,1,4,14,20005,0,1,61
1,2,2,0,14,20005,1,1,61
1,2,1,26,14,20001,1,1,61
1,2,1,4,14,20005,0,1,61
1,2,1,4,14,20005,0,1,61
1,4,1,15,14,20001,0,1,61
8,3,1,12,14,20001,0,0,83
8,5,1,1,14,20009,0,1,61
8,2,1,41,14,20001,0,0,83
7,1,3,2,14,20001,1,1,83
1,2,1,51,14,20001,0,1,83
1,2,2,5,14,20001,1,1,68
1,3,1,5,14,20009,0,1,61
1,2,1,28,14,20005,0,0,61
1,2,1,31,14,20001,0,1,83
10,1,3,11,14,20001,1,1,83
1,2,1,1,14,20005,0,1,61
1,4,2,8,14,20001,0,0,83
1,2,1,2,14,20005,0,1,61
1,2,1,23,14,20005,0,0,61
6,2,2,157,14,20005,0,1,61
6,4,1,0,14,20005,1,1,61
8,2,2,1,14,20001,0,1,83
1,4,1,4,14,20001,0,1,68
1,2,1,3,14,20009,0,1,61
8,2,2,8,14,20019,0,1,63
1,2,1,80,14,20019,1,1,8
1,2,1,0,14,20019,1,1,63
8,2,2,9,14,20019,0,0,63
8,2,2,6,14,20019,0,1,63
8,2,2,1,14,20019,0,1,63
8,1,2,50,14,20019,0,0,63
9,2,2,36,14,20007,0,1,44
1,2,1,4,14,20016,1,1,98
8,2,1,75,14,20007,0,1,9
8,2,2,18,14,20016,0,1,56
8,2,2,1,14,20016,1,1,76
1,2,1,28,14,20016,0,1,56
1,2,1,68,14,20016,0,1,56
8,2,2,17,14,20007,0,0,76
8,4,1,0,14,20016,0,1,76
1,2,1,18,14,20007,0,0,76
8,2,2,0,14,20007,0,1,76
8,2,2,5,14,20016,0,1,56
8,4,1,1,14,20016,1,1,88
8,2,2,13,14,20016,0,0,56
8,2,2,0,14,20007,0,1,76
1,2,1,19,14,20016,0,1,56
8,1,2,0,14,20016,0,1,76
8,1,2,0,14,20007,1,1,44
8,5,1,1,14,20007,1,1,44
8,2,2,14,14,20016,0,1,76
1,2,1,8,14,20016,0,1,76
8,1,2,0,14,20007,1,1,76
1,1,1,1,14,20016,0,1,76
1,2,1,15,14,20007,0,1,44
8,6,1,0,14,20016,1,1,98
8,2,2,0,14,20016,1,1,56
8,6,1,2,14,20007,1,1,9
8,2,1,5,14,20007,1,1,9
8,2,2,1,14,20016,0,1,3
1,2,1,33,14,20016,0,1,56
6,1,2,0,14,20007,1,1,76
8,2,2,0,14,20007,0,1,76
8,6,1,0,14,20007,1,1,76
8,4,1,8,14,20016,0,1,56
8,2,2,1,14,20007,0,1,44
1,2,1,4,14,20007,0,1,76
8,5,1,8,14,20016,0,1,98
8,3,2,2,14,20016,0,1,98
8,1,2,10,14,20019,0,1,35
8,1,2,46,14,20019,0,1,35
8,2,2,67,14,20019,1,1,35
8,1,2,34,14,20019,0,1,35
8,1,2,7,14,20019,1,1,35
1,1,2,11,14,20002,0,1,18
8,1,2,2,14,20002,0,1,18
6,2,2,2,14,20002,1,1,53
8,1,2,3,14,20002,0,1,93
8,2,2,66,14,20002,0,1,72
8,3,1,0,14,20002,0,1,18
8,3,1,13,14,20002,0,1,93
8,2,2,9,14,20002,0,1,18
8,3,1,4,14,20002,0,1,93
10,6,2,0,14,20002,1,1,57
6,2,1,0,14,20002,0,1,53
1,2,1,6,14,20002,1,1,72
8,2,1,11,14,20002,0,1,18
8,2,2,4,14,20002,0,1,72
11,1,2,0,14,20002,0,1,18
8,2,1,0,14,20002,1,1,93
8,2,1,1,14,20002,1,1,93
8,1,2,4,14,20002,0,1,93
8,2,1,2,14,20002,1,1,18
8,1,2,4,14,20002,0,1,93
1,2,1,0,14,20002,0,1,72
11,3,1,0,14,20002,0,1,93
8,2,2,27,14,20002,0,1,93
1,2,1,5,14,20002,0,1,18
8,4,1,25,14,20002,0,1,93
8,2,1,1,14,20002,1,1,57
1,2,2,26,14,20002,1,1,93
8,2,2,15,14,20002,0,1,93
1,2,1,18,14,20002,0,1,93
8,2,2,14,14,20002,0,1,93
11,2,1,11,14,20002,0,1,93
1,2,1,0,14,20002,0,1,53
1,2,2,27,14,20002,1,1,93
1,2,2,3,14,20002,0,1,93
8,2,2,11,14,20002,0,1,46
1,2,2,0,14,20002,1,1,18
8,2,2,7,14,20002,0,1,53
8,2,2,8,14,20002,0,0,93
8,2,2,8,14,20002,0,1,93
1,2,1,19,14,20002,1,1,18
8,4,1,20,14,20002,0,0,93
1,2,1,5,14,20002,1,1,93
8,2,2,4,14,20002,0,1,93
8,3,1,34,14,20002,0,1,93
1,2,1,54,14,20002,1,1,93
8,3,1,1,14,20002,0,1,93
8,3,1,30,14,20002,0,0,72
8,2,2,24,14,20002,0,0,72
1,2,2,23,14,20002,0,1,18
1,2,1,33,14,20002,0,1,93
1,2,1,85,14,20002,0,1,93
1,2,1,2,14,20002,0,1,18
1,2,2,0,14,20002,0,1,18
1,4,1,14,14,20007,1,1,48
8,3,1,6,14,20007,0,1,15
1,2,1,0,14,20007,0,1,48
8,4,1,20,14,20007,0,1,48
1,2,2,1,14,20007,1,1,48
8,2,2,3,14,20007,0,1,15
8,6,1,0,14,20007,1,1,48
8,6,1,11,14,20007,0,1,48
1,2,1,0,14,20007,0,1,48
8,5,1,0,14,20007,1,1,48
8,3,2,10,14,20007,0,0,48
1,3,1,4,14,20007,1,1,48
8,3,1,5,14,20007,0,0,48
