name,host_id,host_name,host_since,property_type,price,price_range,room_type,number_of_reviews,smart_location,zipcode,host_identity_verified,host_is_superhost,neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,is_location_exact,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_365,first_review,last_review,Seasons,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,city,state,bed_type,cleaning_fee,extra_people,calendar_last_scraped
Modern Rustic Capitol Retreat,4315316,Bradford,12/3/12,11,140,2,1,11,14,20002,0,1,93,1,1,1,0,5,1,2,2,1029,3633,150,3,2,1125,130,7/30/15,9/28/15,4,100,10,10,1,2,0,0,1,5,Washington,DC,Real Bed,65,25,10/3/15
Cute apartment w/ big backyard,9447451,Analisa,10/15/13,1,95,2,1,0,14,20002,0,1,53,1,1,1,0,4,1,1,2,570,2000,0,2,1,1125,33,0,0,0,0,0,0,1,1,0,0,1,0,Washington,DC,Real Bed,0,20,10/3/15
Spacious Private Bedroom,32158886,Robbie,4/28/15,1,71,2,2,27,14,20002,1,1,93,2,2,1,0,4,1,1,2,470,1800,0,2,2,1125,156,5/28/15,9/27/15,4,88,10,10,1,3,0,0,2,6.28,Washington,DC,Real Bed,0,10,10/3/15
Spacious Room H Street/Trinidad NE,2828498,Christina,7/4/12,1,74,2,2,3,14,20002,0,1,93,1,1,1,0,2,1,1,1,440,1554,500,1,1,1125,332,4/21/15,5/19/15,2,87,9,10,1,3,1,1,1,0.54,Washington,DC,Real Bed,0,20,10/3/15
"Gorgeous on Capitol Hill, Metro!",17403695,Amanda,6/29/14,8,129,2,2,11,14,20002,0,1,46,1,1,1,0,2,1.5,1,1,695,2095,500,1,3,1125,363,7/14/14,8/7/15,3,89,9,10,0,3,0,0,1,0.74,Washington,DC,Real Bed,50,25,10/3/15
Beautiful condo near H St. NE,4375676,Andrea,12/10/12,1,150,2,2,0,14,20002,1,1,18,1,1,1,0,2,1,1,1,0,0,125,4,1,4,365,0,0,0,0,0,0,1,2,0,0,1,0,Washington,DC,Real Bed,30,50,10/2/15
Slick 1BR Suite Near Distilleries,4235033,Jared,11/25/12,8,79,2,2,7,14,20002,0,1,53,1,1,1,0,2,1.5,1,1,399,0,0,2,1,32,348,8/18/14,9/12/15,4,97,10,10,1,1,0,0,1,0.51,Washington,DC,Airbed,15,15,10/2/15
Historic Townhouse in Heart of DC,18069324,Claire,7/14/14,8,120,2,2,8,14,20002,0,0,93,2,2,1,0,2,1,1,1,650,1800,100,3,2,15,90,10/23/14,12/18/14,1,100,10,10,1,1,0,0,2,0.69,Washington,DC,Real Bed,30,50,10/3/15
Private Bed&Bath--Cap Hill/H St,504401,Shauna,4/12/11,8,75,2,2,8,14,20002,0,1,93,1,1,1,0,2,1,1,1,440,1680,200,1,2,90,319,8/13/13,3/28/15,2,94,10,10,0,1,1,1,1,0.31,Washington,DC,Pull-out Sofa,0,15,10/3/15
H Street Corridor apt!,9721384,Emily,10/30/13,1,120,2,1,19,14,20002,1,1,18,1,1,1,0,2,1,1,1,775,0,0,1,3,16,359,5/13/13,7/19/15,3,91,9,10,1,1,0,0,1,0.65,Washington,DC,Real Bed,0,0,10/2/15
